fecha,nombre,area,circuito,estructura,lat,long,observaciones,apoyoTipo,apoyoCantidad,configuracion,disposicion,altura,característicasPlaca,avifauna,avifaunaEquipos,crucetaSup,crucetaInf,bayonetaTipo,bayonetaObservaciones,templeteCant,templeteAvifauna,aisladorTipo,aisladorA,aisladorB,aisladorC,dpsA,dpsB,dpsC,seccionador,equiposAdicionales,sptBajante,sptConexion,sptCantidad,sptEstado,"fotoPath,,,,,,",fotoPath_limpio,LATITUD NUEVO,LONGITUD NUEVO,CIRCUITO,Estructura,Nombre Imagen,Termografia,Imagen normal
5/29/2025 8:41,,kitaro,kitaro-ponyo,P-06B,,,"Estructura con doble circuito, uno actual (a desmantelar) en configuración retención con derivación a doble cruceta horizontal y el proyectado en retención triangular",P,1.0,Retención,Triangular,14.0,1350.0,Sí,"actual grapas y nuevo grapas, crucetas y templete",1.0,2,Doble,,3.0,,Aislador,,,,0.0,1.0,0.0,No,1 dps y linepost ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_085427_9203650473144565454.jpg,,,,",JPEG_20250529_085427_9203650473144565454.jpg,4.34020773,-72.71745924,PONYO-KITARO,P-06B,Kitaro - Ponyo,image69.png,image70.png
5/28/2025 16:43,,bacano,bacano-r4,P-07,4.3582139,-72.7586694,Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso o aplicación evidente ,P,1.0,Otro,Canadiense,14.0,,Sí,aisladores,2.0,,Sencilla,,,,Pin,1.0,1.0,1.0,,,,No,Cadena de aisladores en suspensión sin uso ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_164617_1649074274565966193.jpg,,,,,,",JPEG_20250528_164617_1649074274565966193.jpg,4.357770751,-72.75417541,BACANO-R4,P-07,Bacano - R4,image47.png,image48.png
5/28/2025 13:35,,kitaro,kitaro-akira,P-07A,4.3413863,-72.715766,estructura de paso ,P,1.0,Otro,Semibandera,12.0,,Sí,aisladores,1.0,,Sencilla,,,,Pin,,,,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_133819_346441777399950506.jpg,,,,,,",JPEG_20250528_133819_346441777399950506.jpg,4.343241705,-72.71304159,KITARO-AKIRAN,,,,
5/29/2025 8:54,,kitaro,kitaro-ponyo,P-07B,4.3401556,-72.7176487,Estructura de paso con doble aislador por fase,P,1.0,Otro,Otro,12.0,510.0,Sí,aisladores,1.0,,Doble,,1.0,1.0,Aislador,,,,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_085845_1855586917578367899.jpg,,,,,,",JPEG_20250529_085845_1855586917578367899.jpg,4.340501539,-72.71806734,PONYO-KITARO,P-07B,Kitaro - Ponyo,image71.png,image72.png
5/28/2025 16:46,,bacano,bacano-r4,P-08,4.3582139,-72.7586694,Estructura de paso con cruceta superior con cadena de aisladores en suspensión sin uso evidente ,P,1.0,Otro,Triangular,14.0,,Sí,aisladores,2.0,,Sencilla,1,,,Pin,1.0,1.0,1.0,,,,No,linepost ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_164918_6282252381538445734.jpg,,,,,,",JPEG_20250528_164918_6282252381538445734.jpg,4.357707955,-72.75326905,BACANO-R4,P-08,Bacano - R4,image49.png,image50.png
5/28/2025 13:38,,kitaro,kitaro-akira,P-08A,4.3413863,-72.715766,retención en una sola cruceta 1 cruceta corta para dos inferior ,P,1.0,Retención,Otro,12.0,,Sí,grapas y dps,1.0,1,Sencilla,,2.0,2.0,Cadenas de aisladores,,,,1.0,1.0,1.0,No,linpost,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_134450_6900671878573523490.jpg,,,,,,",JPEG_20250528_134450_6900671878573523490.jpg,4.34376144,-72.71287507,KITARO-AKIRAN,,,,
5/29/2025 8:58,,kitaro,kitaro-ponyo,P-08B,4.3401556,-72.7176487,,P,1.0,Otro,Otro,12.0,,Sí,aisladores,1.0,,Sencilla,,,,Pin,1.0,1.0,1.0,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_090113_6405176172124177016.jpg,,,,,,",JPEG_20250529_090113_6405176172124177016.jpg,4.340852805,-72.71868481,PONYO-KITARO,P-08B,Kitaro - Ponyo,image73.png,image74.png
5/28/2025 16:49,,bacano,bacano-r4,P-09,4.3582139,-72.7586694,"Estructura en retención con cadena de aisladores de 7 discos en fase de la mitad y linepost para el puente, 2 dps en fases externas ",P,1.0,Retención,Triangular,14.0,,Sí,grapas y dps,1.0,,Doble,,2.0,2.0,Cadenas de aisladores,1.0,1.0,1.0,1.0,0.0,1.0,No,linepost y dps,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_165427_2826518289468577966.jpg,,,,,",JPEG_20250528_165427_2826518289468577966.jpg,4.357643844,-72.7523745,BACANO-R4,P-09,Bacano - R4,image51.png,image52.png
5/28/2025 13:45,,kitaro,kitaro-akira,P-09A,4.3413863,-72.715766,estructura de paso ,P,1.0,Otro,Semibandera,12.0,,Sí,aisladores,1.0,,Sencilla,,,,Pin,1.0,1.0,1.0,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_134937_1306174219385860639.jpg,,,,,,",JPEG_20250528_134937_1306174219385860639.jpg,4.344339129,-72.71268857,KITARO-AKIRAN,,,,
5/29/2025 9:01,,kitaro,kitaro-ponyo,P-09B,,,Estructura de paso con cruceta superior para 2 dps,P,1.0,Otro,Otro,12.0,,Sí,aisladores,1.0,1,Sencilla,,,,Pin,1.0,1.0,1.0,1.0,0.0,1.0,No,2 dps,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_090424_420813823240507106.jpg,,,,,,",JPEG_20250529_090424_420813823240507106.jpg,4.34120265,-72.71930017,PONYO-KITARO,P-09B,Kitaro - Ponyo,image75.png,image76.png
